episode,timestamp,score,time_seconds
43,2025-07-16 14:35:45.967512,6,5
44,2025-07-16 14:35:50.418644,5,4
45,2025-07-16 14:35:54.379520,4,3
46,2025-07-16 14:35:57.900499,4,3
47,2025-07-16 14:36:04.835419,8,6
48,2025-07-16 14:36:06.475686,2,1
49,2025-07-16 14:36:08.859525,3,2
50,2025-07-16 14:36:11.088119,2,2
1,2025-07-16 14:40:11.630707,4,5
2,2025-07-16 14:40:21.038424,7,9
3,2025-07-16 14:40:23.228167,4,2
4,2025-07-16 14:40:23.956597,2,0
5,2025-07-16 14:40:26.604096,2,2
6,2025-07-16 14:40:30.239712,3,3
7,2025-07-16 14:40:35.337406,5,5
8,2025-07-16 14:40:38.140244,4,2
9,2025-07-16 14:40:42.666019,4,4
10,2025-07-16 14:40:46.046381,2,3
11,2025-07-16 14:40:47.398389,1,1
12,2025-07-16 14:40:51.982957,7,4
13,2025-07-16 14:40:59.472127,6,7
14,2025-07-16 14:41:04.675545,4,5
15,2025-07-16 14:41:07.479156,2,2
16,2025-07-16 14:41:14.241635,6,6
17,2025-07-16 14:41:18.659314,6,4
18,2025-07-16 14:41:21.051127,2,2
19,2025-07-16 14:41:22.975417,1,1
20,2025-07-16 14:41:26.779294,5,3
21,2025-07-16 14:41:28.651075,2,1
22,2025-07-16 14:41:31.199129,3,2
23,2025-07-16 14:41:36.499555,5,5
24,2025-07-16 14:41:41.994942,5,5
25,2025-07-16 14:41:45.868720,6,3
26,2025-07-16 14:41:49.332938,4,3
27,2025-07-16 14:41:52.128122,3,2
28,2025-07-16 14:41:53.525421,2,1
29,2025-07-16 14:41:57.202803,4,3
30,2025-07-16 14:42:02.199631,5,4
31,2025-07-16 14:42:03.702048,2,1
32,2025-07-16 14:42:07.306093,4,3
33,2025-07-16 14:42:12.771480,5,5
34,2025-07-16 14:42:22.810683,7,10
35,2025-07-16 14:42:29.521461,5,6
36,2025-07-16 14:42:35.070430,4,5
37,2025-07-16 14:42:39.983035,6,4
38,2025-07-16 14:42:46.481371,6,6
39,2025-07-16 14:42:49.898566,5,3
40,2025-07-16 14:42:51.241555,1,1
41,2025-07-16 14:42:53.415973,3,2
42,2025-07-16 14:42:58.646230,5,5
43,2025-07-16 14:43:02.345116,4,3
44,2025-07-16 14:43:10.723651,8,8
45,2025-07-16 14:43:17.155037,5,6
46,2025-07-16 14:43:22.385377,5,5
47,2025-07-16 14:43:25.546848,5,3
48,2025-07-16 14:43:30.246908,6,4
49,2025-07-16 14:43:33.712527,5,3
50,2025-07-16 14:43:35.576557,3,1
